# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
1049 383 13 4.689000
1050 382 21 7.375000
1051 380 17 6.036000
1052 380 15 5.306000
1053 379 22 7.730000
1054 382 21 7.291000
1055 381 20 7.017000
1056 383 20 7.032000
1057 383 21 7.307000
1058 383 22 7.623000
1059 383 21 7.306000
1060 380 20 7.055000
1061 380 20 7.081000
1062 380 20 7.069000
1063 381 21 7.327000
1064 382 22 7.680000
1065 382 22 7.687000
1066 381 20 7.063000
1067 381 20 7.000000
1068 381 16 5.665000
1069 380 21 7.353000
1070 381 21 7.422000
1071 382 21 7.677000
1072 381 20 7.355000
1073 383 20 7.386000
1074 383 19 6.942000
1075 382 20 7.337000
1076 376 18 6.692000
1077 375 22 8.103000
1078 376 18 6.610000
1079 376 19 7.065000
1080 377 18 6.531000
1081 377 19 7.145000
1082 378 19 7.175000
1083 378 20 7.615000
1084 375 20 7.686000
1085 375 18 6.987000
1086 375 19 7.323000
1087 377 19 7.243000
1088 377 18 6.739000
1089 375 19 7.060000
1090 376 19 7.236000
1091 376 19 7.347000
1092 376 15 5.932000
1093 375 17 6.725000
1094 376 21 7.912000
1095 374 22 8.201000
1096 374 21 7.911000
1097 376 18 7.037000
1098 374 19 7.460000
1099 377 20 7.877000
1100 377 20 7.701000
1101 377 20 7.463000
1102 377 19 7.170000
1103 380 18 6.966000
1104 380 14 5.555000
1105 380 20 7.707000
1106 379 20 7.657000
1107 380 20 7.572000
1108 380 20 7.413000
1109 378 19 7.118000
1110 378 11 4.471000
1111 378 19 7.387000
1112 381 20 7.744000
1113 382 20 7.652000
1114 381 21 8.062000
1115 388 13 5.090000
1116 377 18 6.872000
1117 376 17 6.696000
1118 376 17 6.685000
1119 376 20 7.840000
1120 373 20 7.767000
1121 372 18 6.913000
1122 372 19 7.322000
1123 373 18 6.673000
1124 374 19 7.019000
1125 378 19 6.963000
1126 376 16 5.843000
1127 374 20 7.154000
1128 376 21 7.523000
1129 376 20 7.211000
1130 376 13 4.795000
1131 373 19 6.939000
1132 377 17 6.136000
1133 373 17 6.161000
1134 375 17 6.155000
1135 377 17 6.136000
1136 377 16 5.792000
1137 376 16 5.786000
1138 375 16 5.828000
1139 376 17 6.177000
1140 374 18 6.474000
1141 373 12 4.451000
1142 373 19 6.857000
1143 370 18 6.433000
1144 371 19 6.820000
1145 369 20 7.170000
1146 370 18 6.789000
1147 371 18 6.720000
1148 374 19 7.079000
1149 377 20 7.428000
1150 377 19 7.110000
1151 377 18 6.769000
1152 377 20 7.510000
1153 377 19 7.105000
1154 376 20 7.459000
1155 376 20 7.359000
1156 378 16 6.064000
1157 379 18 6.903000
1158 372 20 7.787000
1159 372 19 7.468000
1160 379 16 6.349000
1161 380 19 7.556000
1162 380 19 7.377000
1163 377 20 7.725000
1164 379 16 6.233000
1165 377 19 7.537000
1166 378 14 5.723000
1167 379 13 5.116000
1168 379 18 6.957000
1169 377 16 6.118000
1170 378 15 5.674000
1171 378 17 6.372000
1172 375 16 5.955000
1173 375 12 4.726000
1174 375 16 6.249000
1175 375 12 4.769000
1176 376 16 6.223000
1177 376 13 5.073000
1178 377 19 7.105000
1179 377 17 6.302000
1180 377 17 6.340000
1181 378 16 6.188000
1182 380 16 6.249000
1183 381 16 6.190000
1184 382 10 4.010000
1185 381 17 6.496000
1186 381 16 6.149000
1187 382 15 5.717000
1188 381 14 5.264000
1189 378 17 6.526000
1190 374 15 5.969000
1191 373 12 4.810000
1192 376 14 5.573000
1193 376 14 5.452000
1194 377 16 6.304000
1195 375 16 6.202000
1196 374 21 7.827000
1197 375 20 7.660000
1198 373 17 6.723000
1199 374 17 6.724000
1200 378 18 6.846000
1201 378 14 5.515000
1202 381 12 4.635000
1203 381 18 6.821000
1204 380 12 4.563000
1205 381 13 4.843000
1206 381 21 7.585000
1207 382 20 7.133000
1208 382 20 7.106000
1209 380 19 6.761000
1210 376 17 6.295000
1211 373 21 7.714000
1212 375 18 6.680000
1213 378 18 6.599000
1214 378 11 4.185000
1215 378 16 5.912000
1216 377 19 6.949000
1217 376 19 6.979000
1218 372 20 7.385000
1219 367 20 7.443000
1220 367 19 7.043000
1221 369 21 7.760000
1222 368 20 7.406000
1223 382 22 7.785000
1224 373 22 7.993000
1225 372 19 6.920000
1226 371 18 6.625000
